County,State,FIPS Code,Vehicles / 5sqmi
Powell,KY,21,10 - 25
Buffalo,NE,31,10 - 25
San Miguel,NM,35,0 - 2
Madison,TN,47,10 - 25
Sharkey,MS,28,0 - 2
Tensas,LA,22,0 - 2
Borden,TX,48,0 - 2
Maury,TN,47,10 - 25
Roger Mills,OK,40,2 - 5
Lampasas,TX,48,10 - 25
Dakota,MN,27,10 - 100
Amherst,VA,51,10 - 25
Huerfano,CO,8,2 - 5
Colfax,NE,31,0 - 10
Essex,NJ,34,200 - 300
Wise,VA,51,10 - 25
Edgefield,SC,45,10 - 25
Hopkins,TX,48,10 - 25
Alexandria,VA,51,300 - 400
Smith,KS,20,0 - 2
Pike,IL,17,0 - 10
Allendale,SC,45,0 - 2
Butte,ID,16,0 - 2
Fulton,NY,36,10 - 25
Washington,IA,19,10 - 25
Norman,MN,27,0 - 2
Richmond,NC,37,0 - 10
Wexford,MI,26,0 - 10
McKean,PA,42,0 - 10
Dorchester,MD,24,0 - 10
Johnson,TX,48,10 - 100
Lane,OR,41,10 - 25
Washington,MD,24,25 - 50
Chautauqua,KS,20,2 - 5
Garvin,OK,40,10 - 25
Harrison,IA,19,0 - 10
Hawkins,TN,47,10 - 25
Hamilton,NE,31,0 - 10
Nacogdoches,TX,48,10 - 25
Crawford,AR,5,10 - 25
Jasper,IN,18,10 - 25
Rawlins,KS,20,0 - 2
Pocahontas,WV,54,2 - 5
Esmeralda,NV,32,0 - 2
Bannock,ID,16,10 - 25
Linn,IA,19,25 - 50
Sheridan,KS,20,0 - 2
Frederick,VA,51,25 - 50
Mono,CA,6,0 - 2
Crockett,TN,47,0 - 10
Cook,MN,27,0 - 2
Platte,MO,29,25 - 50
Atoka,OK,40,0 - 10
Republic,KS,20,2 - 5
Charlton,GA,13,0 - 2
Edmunds,SD,46,0 - 2
Hettinger,ND,38,0 - 2
Pleasants,WV,54,0 - 10
Perry,IL,17,0 - 10
Osage,OK,40,0 - 10
New Madrid,MO,29,2 - 5
Concordia,LA,22,0 - 10
Rockwall,TX,48,100 - 200
Cerro Gordo,IA,19,10 - 25
Marinette,WI,55,0 - 10
Skamania,WA,53,2 - 5
Rockingham,NH,33,25 - 50
Hoke,NC,37,10 - 25
Eagle,CO,8,10 - 25
Graham,AZ,4,2 - 5
Johnson,IL,17,0 - 10
Hill,MT,30,2 - 5
Murray,MN,27,0 - 10
Wayne,OH,39,25 - 50
Clark,NV,32,10 - 25
Greenville,SC,45,10 - 100
Baker,GA,13,0 - 2
Klamath,OR,41,0 - 10
Union,IL,17,10 - 25
Chautauqua,NY,36,0 - 10
Rains,TX,48,10 - 25
Canadian,OK,40,25 - 50
Lake,FL,12,25 - 50
Carson,TX,48,2 - 5
Wabash,IN,18,10 - 25
Crittenden,KY,21,0 - 10
Cape Girardeau,MO,29,10 - 25
Webster,MS,28,0 - 10
Ottawa,KS,20,2 - 5
Anson,NC,37,0 - 10
Knox,IN,18,10 - 25
Pickett,TN,47,0 - 10
Grant,LA,22,0 - 10
Adams,WI,55,0 - 10
Santa Rosa,FL,12,10 - 25
Hancock,GA,13,0 - 2
Cabarrus,NC,37,10 - 100
DeWitt,TX,48,10 - 25
Ochiltree,TX,48,2 - 5
Paulding,OH,39,0 - 10
Clay,KS,20,2 - 5
Seneca,NY,36,10 - 25
Fayette,TN,47,10 - 25
Union,TN,47,10 - 25
Bacon,GA,13,0 - 10
Marshall,OK,40,10 - 25
Indiana,PA,42,10 - 25
