County,State,FIPS Code,Vehicles / 5sqmi
Antrim,MI,26,0 - 2
Jones,TX,48,0 - 2
Hardin,TX,48,0 - 2
Saline,AR,5,0 - 2
DuPage,IL,17,10 - 25
Alexander,NC,37,0 - 2
Nantucket,MA,25,0 - 2
Essex,NY,36,0 - 2
Warren,IN,18,0 - 2
Stark,ND,38,0 - 2
Big Stone,MN,27,0 - 2
Grant,WV,54,0 - 2
Sutter,CA,6,0 - 2
Missaukee,MI,26,0 - 2
Jasper,IA,19,0 - 2
Trinity,CA,6,0 - 2
Cleveland,OK,40,0 - 2
Meade,SD,46,0 - 2
Hutchinson,SD,46,0 - 2
McPherson,SD,46,0 - 2
San Patricio,TX,48,0 - 2
Garfield,UT,49,0 - 2
Kootenai,ID,16,0 - 2
Waldo,ME,23,0 - 2
Delta,CO,8,0 - 2
Somerset,PA,42,0 - 2
Blair,PA,42,0 - 2
Richmond,VA,51,0 - 2
Richmond,VA,51,0 - 2
Hamilton,TX,48,0 - 2
Columbia,OR,41,0 - 2
Grayson,KY,21,0 - 2
Florence,SC,45,0 - 2
Ford,IL,17,0 - 2
Rock,MN,27,0 - 2
Caroline,VA,51,0 - 2
Lee,GA,13,0 - 2
Elbert,GA,13,0 - 2
Sullivan,PA,42,0 - 2
Norfolk,VA,51,2 - 5
Green,KY,21,0 - 2
Wright,IA,19,0 - 2
Linn,OR,41,0 - 2
Somerset,NJ,34,0 - 10
Carroll,VA,51,0 - 2
Bay,FL,12,0 - 2
Lincoln,NC,37,0 - 2
Cheyenne,NE,31,0 - 2
Rice,KS,20,0 - 2
Todd,SD,46,0 - 2
Kemper,MS,28,0 - 2
Adair,MO,29,0 - 2
Oxford,ME,23,0 - 2
Lafayette,AR,5,0 - 2
Maui,HI,15,0 - 2
Harrison,WV,54,0 - 2
Montgomery,IL,17,0 - 2
Lawrence,MS,28,0 - 2
Hidalgo,NM,35,0 - 2
Morgan,KY,21,0 - 2
Caddo,LA,22,0 - 2
Ellsworth,KS,20,0 - 2
Traverse,MN,27,0 - 2
Oneida,ID,16,0 - 2
Calhoun,WV,54,0 - 2
Wharton,TX,48,0 - 2
Emery,UT,49,0 - 2
Lincoln,NV,32,0 - 2
Cowley,KS,20,0 - 2
Graham,KS,20,0 - 2
Franklin,PA,42,0 - 2
Lincoln,MS,28,0 - 2
Beaver,UT,49,0 - 2
